id,DC025,DC205,DC206,DC208,DC209,DC210,DC211,DC212,DC213,DC215,DC230a,DC230b,DC232,DC235,DC237,DC237a,DC237f,DC244,DC246,DC270a,DC109,DC201
93,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2,11.0,Layak Minum
94,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,11.0,Layak Minum
95,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3,11.0,Layak Minum
96,1,16.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2,12.0,Layak Minum
97,1,12.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,11.0,Layak Minum
98,1,31.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1,31.0,Layak Minum
99,1,12.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,31.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,11.0,Layak Minum
100,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,11.0,Layak Minum
101,1,16.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2,12.0,Layak Minum
102,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,11.0,Layak Minum
103,1,31.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1,31.0,Layak Minum
104,1,16.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1,12.0,Layak Minum
106,1,12.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,11.0,Layak Minum
108,1,31.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,31.0,Layak Minum
109,1,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
110,1,16.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,12.0,Layak Minum
111,1,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,12.0,Layak Minum
113,1,16.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,12.0,Tidak Layak Minum
114,1,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,11.0,Layak Minum
115,1,12.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,11.0,Layak Minum
116,1,16.0,1.0,1.0,1.0,0.0,1.0,0.0,21.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1,12.0,Tidak Layak Minum
119,1,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,12.0,Tidak Layak Minum
122,1,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1,12.0,Tidak Layak Minum
123,1,16.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
124,2,16.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,12.0,Layak Minum
126,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,31.0,Layak Minum
130,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3,12.0,Layak Minum
131,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
133,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,11.0,Layak Minum
134,2,31.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,31.0,Layak Minum
135,2,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,12.0,Tidak Layak Minum
136,2,16.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3,12.0,Layak Minum
138,2,16.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,12.0,Layak Minum
147,2,16.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3,12.0,Layak Minum
149,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,11.0,Layak Minum
150,2,16.0,1.0,0.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,5,12.0,Layak Minum
152,2,16.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4,12.0,Layak Minum
153,2,31.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Tidak Layak Minum
154,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
155,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4,11.0,Layak Minum
156,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3,12.0,Layak Minum
157,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,4,31.0,Layak Minum
158,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,4,12.0,Layak Minum
159,2,31.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Tidak Layak Minum
162,2,31.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Tidak Layak Minum
163,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,4,11.0,Layak Minum
165,2,31.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1,31.0,Layak Minum
166,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Layak Minum
168,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
170,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,11.0,Layak Minum
171,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,31.0,Layak Minum
172,2,16.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,12.0,Layak Minum
173,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Tidak Layak Minum
174,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,31.0,Layak Minum
175,2,31.0,1.0,0.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
176,2,16.0,1.0,1.0,0.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2,12.0,Tidak Layak Minum
177,2,31.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Layak Minum
178,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Layak Minum
179,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2,12.0,Tidak Layak Minum
180,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5,11.0,Layak Minum
181,2,31.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,31.0,Layak Minum
182,2,31.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Tidak Layak Minum
183,2,16.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,12.0,Layak Minum
184,2,31.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,31.0,Layak Minum
185,2,31.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1,31.0,Tidak Layak Minum
186,2,12.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,11.0,Layak Minum
188,2,31.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1,31.0,Tidak Layak Minum
190,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,12.0,Layak Minum
191,2,31.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2,31.0,Tidak Layak Minum
192,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,11.0,Layak Minum
193,2,31.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,31.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2,31.0,Layak Minum
194,2,31.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1,31.0,Tidak Layak Minum
195,2,31.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3,31.0,Layak Minum
196,2,12.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3,11.0,Layak Minum
197,2,31.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1,31.0,Tidak Layak Minum
198,2,16.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3,12.0,Tidak Layak Minum
200,2,17.0,1.0,1.0,1.0,1.0,1.0,0.0,35.0,31.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,21.0,Layak Minum
202,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3,11.0,Layak Minum
203,2,12.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,11.0,Layak Minum
204,2,31.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,32.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,31.0,Tidak Layak Minum
205,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,33.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,4,11.0,Layak Minum
206,2,17.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,21.0,Layak Minum
207,2,17.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1,21.0,Tidak Layak Minum
208,2,16.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,12.0,Layak Minum
209,2,17.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,21.0,Tidak Layak Minum
211,2,12.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,11.0,Layak Minum
212,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2,11.0,Layak Minum
213,2,17.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1,21.0,Layak Minum
214,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2,11.0,Layak Minum
215,2,16.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3,12.0,Layak Minum
219,2,17.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,21.0,Layak Minum
220,2,17.0,1.0,1.0,0.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2,21.0,Layak Minum
221,2,17.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,12.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1,21.0,Layak Minum
222,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2,11.0,Layak Minum
223,2,12.0,1.0,1.0,1.0,0.0,0.0,0.0,35.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3,11.0,Layak Minum
224,2,12.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,31.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4,11.0,Layak Minum
226,2,12.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,31.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5,11.0,Layak Minum
229,2,12.0,1.0,1.0,1.0,0.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5,11.0,Layak Minum
230,2,12.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,31.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5,11.0,Layak Minum
232,2,12.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5,11.0,Layak Minum
