DC024,DC205,DC214,DC220,DC235,DC109,DC142a,DC201
11.0,12.0,35.0,43.0,2.0,11.0,85.0,1.0
11.0,12.0,36.0,46.0,2.0,11.0,136.0,1.0
11.0,12.0,35.0,41.0,1.0,11.0,72.0,1.0
11.0,12.0,35.0,54.0,3.0,11.0,32.0,1.0
11.0,12.0,35.0,51.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,42.0,2.0,11.0,144.0,1.0
11.0,31.0,36.0,51.0,3.0,31.0,25.0,1.0
11.0,31.0,36.0,36.0,1.0,31.0,56.0,1.0
11.0,31.0,36.0,42.0,3.0,31.0,48.0,1.0
11.0,31.0,24.0,37.0,2.0,31.0,58.0,1.0
11.0,31.0,23.0,41.0,2.0,31.0,60.0,1.0
11.0,31.0,23.0,78.0,2.0,31.0,60.0,1.0
11.0,12.0,23.0,60.0,1.0,11.0,56.0,1.0
11.0,31.0,36.0,35.0,3.0,31.0,20.0,1.0
11.0,31.0,36.0,29.0,2.0,31.0,20.0,1.0
11.0,16.0,35.0,79.0,1.0,12.0,144.0,1.0
11.0,12.0,35.0,51.0,2.0,11.0,56.0,1.0
11.0,12.0,35.0,57.0,2.0,11.0,180.0,1.0
11.0,12.0,35.0,44.0,3.0,11.0,165.0,1.0
11.0,12.0,35.0,70.0,2.0,11.0,48.0,1.0
11.0,12.0,35.0,28.0,2.0,11.0,56.0,1.0
11.0,12.0,35.0,37.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,30.0,2.0,11.0,56.0,1.0
11.0,12.0,35.0,47.0,2.0,11.0,90.0,1.0
11.0,12.0,35.0,55.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,50.0,2.0,11.0,56.0,1.0
11.0,12.0,35.0,50.0,2.0,11.0,135.0,1.0
11.0,12.0,35.0,44.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,52.0,1.347218779076053,11.0,136.0,1.0
11.0,12.0,35.0,41.0,2.0,11.0,128.0,1.0
11.0,12.0,35.0,45.0,2.0,11.0,90.0,1.0
11.0,31.0,36.0,86.0,3.0,31.0,30.0,1.0
11.0,12.0,35.0,57.0,2.0,11.0,84.0,1.0
11.0,12.0,36.0,43.0,2.0,11.0,998.0,1.0
11.0,31.0,36.0,62.0,1.9616562481793896,31.0,71.0,1.0
11.0,31.0,36.0,64.0,3.0,31.0,49.0,1.0
11.0,31.0,36.0,50.0,2.0,31.0,42.0,1.0
11.0,31.0,36.0,53.0,3.0,31.0,54.0,1.0
11.0,31.0,36.0,55.0,3.0,31.0,55.0,1.0
11.0,12.0,36.0,59.0,2.0,11.0,174.0,1.0
11.0,31.0,36.0,35.0,2.1655376722535253,31.0,44.0,1.0
11.0,31.0,36.0,44.0,2.0,31.0,63.0,1.0
11.0,31.0,36.0,61.0,3.0,31.0,58.0,1.0
11.0,31.0,36.0,33.0,3.0,31.0,25.0,1.0
11.0,31.0,36.0,71.0,3.0,31.0,48.0,1.0
11.0,12.0,35.0,47.0,3.0,11.0,84.0,1.0
11.0,12.0,35.0,38.0,1.7740102175346406,11.0,39.0,1.0
11.0,31.0,36.0,60.0,2.1770777440782,31.0,55.0,1.0
11.0,12.0,36.0,43.0,1.908716464584528,11.0,104.0,1.0
11.0,12.0,35.0,40.0,3.0,11.0,112.0,1.0
11.0,12.0,36.0,67.0,2.0,11.0,96.0,1.0
11.0,12.0,32.0,38.0,2.0,11.0,96.0,1.0
11.0,12.0,36.0,62.0,1.0,11.0,65.0,0.0
11.0,12.0,36.0,56.0,1.0,11.0,75.0,1.0
11.0,31.0,36.0,39.0,2.0,51.0,36.0,0.0
11.0,17.0,36.0,51.0,2.0,21.0,20.0,0.0
11.0,12.0,36.0,39.0,1.0,11.0,90.0,1.0
11.0,12.0,31.0,62.0,1.0,11.0,30.0,1.0
11.0,12.0,35.0,71.0,2.0,11.0,30.0,1.0
11.0,21.0,23.0,32.0,2.0,41.0,50.0,0.0
11.0,12.0,23.0,38.0,2.0,11.0,42.0,1.0
11.0,12.0,35.0,41.0,2.0,11.0,72.0,1.0
11.0,16.0,36.0,53.0,3.0,12.0,56.0,0.0
11.0,31.0,12.0,35.0,3.0,51.0,30.0,0.0
11.0,12.0,35.0,44.0,1.0,11.0,136.0,1.0
11.0,31.0,36.0,65.0,3.0,31.0,28.0,0.0
11.0,21.0,36.0,53.0,3.0,41.0,30.0,0.0
11.0,12.0,36.0,75.0,2.0,11.0,91.0,1.0
11.0,12.0,36.0,42.0,1.0,11.0,108.0,1.0
11.0,12.0,35.0,47.0,2.0,11.0,84.0,1.0
11.0,31.0,36.0,83.0,3.0,31.0,50.0,1.0
11.0,12.0,36.0,44.0,3.0,11.0,84.0,0.0
11.0,12.0,36.0,75.0,2.0,11.0,84.0,1.0
11.0,12.0,36.0,51.0,3.0,11.0,54.0,0.0
11.0,12.0,36.0,37.0,3.0,11.0,42.0,0.0
11.0,12.0,36.0,82.0,3.0,11.0,96.0,0.0
11.0,31.0,36.0,77.0,3.0,31.0,42.0,1.0
11.0,12.0,23.0,48.0,3.0,11.0,120.0,0.0
11.0,12.0,36.0,36.0,3.0,11.0,100.0,1.0
11.0,12.0,36.0,53.0,2.0,11.0,94.0,1.0
11.0,12.0,36.0,43.0,2.0,11.0,42.0,1.0
11.0,12.0,24.0,38.0,3.0,11.0,42.0,0.0
11.0,16.0,35.0,65.0,1.0,12.0,54.0,1.0
11.0,12.0,23.0,40.0,2.0,11.0,70.0,1.0
11.0,12.0,36.0,38.0,3.0,11.0,42.0,1.0
11.0,12.0,36.0,64.0,3.0,11.0,72.0,1.0
11.0,12.0,36.0,50.0,2.0,11.0,54.0,1.0
11.0,16.0,36.0,80.0,2.0,12.0,60.0,1.0
11.0,21.0,36.0,45.0,3.0,41.0,45.0,1.0
11.0,12.0,36.0,64.0,2.0,11.0,48.0,1.0
11.0,21.0,36.0,27.0,3.0,41.0,63.0,1.0
11.0,12.0,35.0,59.0,3.0,11.0,144.0,0.0
11.0,12.0,36.0,48.0,3.0,11.0,63.0,1.0
11.0,16.0,24.0,49.0,3.0,12.0,28.0,1.0
11.0,31.0,36.0,53.0,3.0,51.0,54.0,0.0
11.0,31.0,36.0,61.0,3.0,31.0,24.0,0.0
11.0,31.0,36.0,46.0,3.0,31.0,40.0,1.0
11.0,31.0,36.0,36.0,3.0,31.0,30.0,1.0
11.0,12.0,36.0,57.0,3.0,11.0,40.0,1.0
11.0,12.0,36.0,57.0,2.0,11.0,56.0,0.0
11.0,31.0,36.0,53.0,3.0,31.0,48.0,0.0
11.0,31.0,36.0,34.0,3.0,31.0,78.0,0.0
11.0,12.0,36.0,52.0,3.0,11.0,35.0,1.0
11.0,31.0,36.0,48.0,3.0,31.0,48.0,1.0
11.0,12.0,34.0,55.0,1.0,11.0,28.0,0.0
11.0,31.0,36.0,38.0,3.0,31.0,60.0,0.0
11.0,12.0,35.0,41.0,2.0,11.0,150.0,1.0
11.0,12.0,36.0,37.0,1.0,11.0,40.0,1.0
11.0,12.0,35.0,34.0,3.0,11.0,36.0,0.0
11.0,21.0,36.0,33.0,3.0,41.0,20.0,0.0
11.0,12.0,32.0,56.0,3.0,11.0,66.0,0.0
11.0,21.0,36.0,29.0,3.0,41.0,42.0,1.0
11.0,12.0,32.0,38.0,3.0,11.0,36.0,0.0
11.0,21.0,36.0,34.0,3.0,41.0,20.0,0.0
11.0,31.0,36.0,32.0,3.0,51.0,30.0,0.0
11.0,12.0,36.0,42.0,3.0,11.0,45.0,0.0
11.0,12.0,35.0,49.0,3.0,11.0,60.0,0.0
11.0,31.0,36.0,44.0,3.0,51.0,35.0,0.0
11.0,31.0,36.0,60.0,3.0,51.0,81.0,0.0
11.0,12.0,36.0,43.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,44.0,1.0,11.0,80.0,1.0
11.0,31.0,36.0,59.0,3.0,51.0,63.0,0.0
11.0,31.0,12.0,32.0,3.0,31.0,15.0,0.0
11.0,12.0,36.0,41.0,1.6090624891036702,11.0,45.0,1.0
11.0,12.0,35.0,60.0,1.3508583029542771,11.0,150.0,1.0
11.0,12.0,35.0,47.0,1.4469504204479549,11.0,120.0,1.0
11.0,12.0,23.0,52.0,1.6574010547276443,11.0,117.0,1.0
11.0,12.0,35.0,38.0,1.508306836823064,11.0,160.0,1.0
11.0,12.0,35.0,44.0,2.0,11.0,154.0,1.0
11.0,12.0,35.0,58.0,2.0,11.0,84.0,1.0
11.0,12.0,36.0,65.0,2.0,11.0,200.0,1.0
11.0,12.0,23.0,65.0,1.862427071601057,11.0,60.0,1.0
11.0,12.0,35.0,43.0,1.3968347321568295,11.0,130.0,1.0
11.0,12.0,35.0,49.0,1.212516755909912,11.0,300.0,1.0
11.0,12.0,36.0,45.0,1.882050905610065,11.0,32.0,1.0
11.0,12.0,35.0,40.0,1.6343011718784786,11.0,84.0,1.0
11.0,12.0,36.0,42.0,1.7285171274718971,11.0,40.0,1.0
11.0,12.0,35.0,47.0,1.7583470018825025,11.0,112.0,1.0
11.0,12.0,35.0,42.0,1.6026976184039876,11.0,60.0,1.0
11.0,12.0,36.0,36.0,1.821345093119947,11.0,36.0,1.0
11.0,12.0,35.0,53.0,1.3506967419442304,11.0,266.0,1.0
11.0,12.0,35.0,36.0,1.4833408186658832,11.0,120.0,1.0
11.0,12.0,36.0,63.0,1.5894815657254362,11.0,60.0,1.0
11.0,12.0,35.0,38.0,1.777665473160201,11.0,38.0,1.0
11.0,12.0,36.0,34.0,1.967353548567856,11.0,18.0,1.0
11.0,12.0,36.0,54.0,1.0,11.0,105.0,1.0
11.0,12.0,36.0,52.0,1.6837330582676682,11.0,64.0,1.0
11.0,12.0,36.0,32.0,1.0,11.0,75.0,1.0
11.0,12.0,35.0,40.0,1.0,11.0,60.0,1.0
11.0,12.0,36.0,42.0,1.0,11.0,48.0,1.0
11.0,12.0,36.0,52.0,3.0,11.0,48.0,1.0
11.0,12.0,36.0,30.0,3.0,11.0,32.0,1.0
11.0,12.0,35.0,38.0,3.0,11.0,140.0,1.0
11.0,12.0,36.0,67.0,3.0,11.0,91.0,1.0
11.0,12.0,36.0,29.0,1.0,11.0,32.0,1.0
11.0,12.0,36.0,61.0,1.0,11.0,136.0,1.0
11.0,16.0,36.0,45.0,1.0,12.0,48.0,1.0
11.0,12.0,36.0,67.0,3.0,11.0,40.0,1.0
11.0,12.0,35.0,54.0,3.0,11.0,120.0,1.0
11.0,12.0,36.0,34.0,1.0,11.0,91.0,1.0
11.0,16.0,32.0,68.0,1.8027027109285991,12.0,72.0,1.0
11.0,12.0,35.0,45.0,3.0,11.0,56.0,1.0
11.0,12.0,36.0,37.0,1.0,11.0,100.0,0.0
11.0,12.0,36.0,58.0,1.0,11.0,225.0,0.0
11.0,31.0,36.0,34.0,1.0,31.0,36.0,0.0
11.0,12.0,36.0,35.0,1.0,11.0,32.0,1.0
11.0,12.0,35.0,50.0,3.0,11.0,128.0,1.0
11.0,12.0,35.0,43.0,3.0,11.0,60.0,1.0
11.0,12.0,36.0,49.0,3.0,11.0,60.0,1.0
11.0,12.0,36.0,62.0,3.0,11.0,998.0,1.0
11.0,12.0,36.0,42.0,3.0,11.0,112.0,1.0
11.0,12.0,36.0,37.0,2.0,11.0,44.0,1.0
11.0,12.0,36.0,46.0,2.0,11.0,80.0,0.0
11.0,31.0,36.0,55.0,1.0,31.0,127.0,1.0
11.0,12.0,36.0,68.0,3.0,11.0,54.0,1.0
11.0,12.0,36.0,29.0,3.0,11.0,40.0,1.0
11.0,12.0,36.0,35.0,1.0,11.0,135.0,1.0
11.0,12.0,35.0,52.0,2.0,11.0,120.0,1.0
11.0,12.0,35.0,52.0,2.0,11.0,70.0,1.0
11.0,12.0,35.0,63.0,2.0,11.0,64.0,1.0
11.0,12.0,35.0,46.0,1.0,11.0,60.0,1.0
11.0,12.0,35.0,49.0,1.0,11.0,176.0,1.0
11.0,12.0,35.0,53.0,1.0,11.0,120.0,1.0
11.0,12.0,35.0,34.0,1.0,11.0,36.0,1.0
11.0,12.0,35.0,35.0,1.0,11.0,96.0,1.0
11.0,12.0,35.0,57.0,1.0,11.0,234.0,1.0
11.0,12.0,35.0,28.0,1.0,11.0,54.0,1.0
11.0,12.0,35.0,64.0,1.0,11.0,125.0,1.0
11.0,12.0,35.0,44.0,1.0,11.0,360.0,1.0
11.0,12.0,35.0,36.0,1.0,11.0,60.0,1.0
11.0,12.0,32.0,45.0,1.0,11.0,150.0,1.0
11.0,12.0,35.0,29.0,1.0,11.0,100.0,1.0
11.0,12.0,35.0,58.0,1.2249764369972913,11.0,195.0,1.0
11.0,12.0,35.0,47.0,1.0,11.0,200.0,1.0
11.0,12.0,35.0,32.0,1.0,11.0,60.0,1.0
11.0,12.0,35.0,48.0,1.0,11.0,72.0,1.0
11.0,12.0,32.0,44.0,1.0,11.0,48.0,1.0
11.0,12.0,36.0,50.0,1.0,11.0,77.0,1.0
11.0,12.0,35.0,57.0,1.0,11.0,77.0,1.0
11.0,12.0,35.0,47.0,1.0,11.0,120.0,1.0
11.0,12.0,35.0,38.0,2.0,11.0,175.0,1.0
11.0,12.0,35.0,38.0,1.0,11.0,250.0,1.0
11.0,16.0,32.0,47.0,1.0,12.0,108.0,1.0
11.0,12.0,35.0,50.0,2.0,11.0,70.0,1.0
11.0,12.0,35.0,71.0,1.0,11.0,120.0,1.0
11.0,12.0,35.0,31.0,1.4224460250602164,11.0,36.0,1.0
11.0,12.0,35.0,42.0,2.0,11.0,72.0,1.0
11.0,12.0,35.0,61.0,3.0,11.0,84.0,1.0
11.0,12.0,35.0,51.0,3.0,11.0,60.0,1.0
11.0,12.0,35.0,63.0,2.0,11.0,105.0,1.0
11.0,31.0,36.0,39.0,2.0,51.0,30.0,1.0
11.0,31.0,23.0,54.0,2.0,51.0,40.0,1.0
11.0,12.0,35.0,55.0,2.0,11.0,60.0,1.0
11.0,12.0,35.0,65.0,2.0,11.0,42.0,1.0
11.0,12.0,35.0,50.0,2.0,11.0,42.0,1.0
11.0,12.0,35.0,64.0,2.0,11.0,54.0,1.0
11.0,12.0,35.0,43.0,3.0,11.0,72.0,1.0
11.0,12.0,35.0,43.0,2.0,11.0,42.0,1.0
11.0,12.0,35.0,65.0,1.0,11.0,240.0,1.0
11.0,12.0,35.0,57.0,2.0,11.0,84.0,1.0
11.0,12.0,35.0,34.0,2.0,11.0,54.0,1.0
11.0,12.0,35.0,49.0,2.0,11.0,600.0,1.0
11.0,31.0,32.0,53.0,3.0,31.0,84.0,0.0
11.0,31.0,36.0,86.0,3.0,31.0,80.0,0.0
11.0,12.0,35.0,59.0,1.0,11.0,120.0,1.0
11.0,31.0,35.0,48.0,1.0,31.0,84.0,1.0
11.0,17.0,32.0,46.0,1.0,21.0,90.0,1.0
11.0,31.0,32.0,33.0,1.0,31.0,105.0,1.0
11.0,17.0,32.0,36.0,1.0,21.0,48.0,1.0
11.0,31.0,36.0,51.0,1.0,51.0,84.0,1.0
11.0,12.0,32.0,64.0,1.0,11.0,56.0,1.0
11.0,31.0,32.0,54.0,3.0,51.0,72.0,1.0
11.0,17.0,32.0,45.0,1.0,21.0,48.0,1.0
11.0,31.0,36.0,72.0,1.0,31.0,21.0,1.0
11.0,17.0,36.0,46.0,1.0,21.0,64.0,1.0
11.0,12.0,35.0,31.0,1.0,11.0,105.0,1.0
11.0,17.0,32.0,47.0,1.0,21.0,70.0,1.0
11.0,12.0,35.0,64.0,1.0,11.0,180.0,1.0
11.0,12.0,35.0,32.0,1.0,11.0,60.0,1.0
11.0,12.0,35.0,42.0,2.0,11.0,48.0,1.0
11.0,12.0,35.0,44.0,2.0,11.0,42.0,1.0
11.0,12.0,35.0,42.0,3.0,11.0,62.0,1.0
11.0,12.0,35.0,41.0,1.0,11.0,72.0,1.0
11.0,31.0,35.0,62.0,2.0,31.0,225.0,1.0
11.0,12.0,35.0,43.0,1.0,11.0,108.0,1.0
11.0,12.0,35.0,52.0,1.0,11.0,62.0,1.0
11.0,12.0,35.0,42.0,1.0,11.0,54.0,1.0
11.0,12.0,35.0,50.0,1.0,11.0,72.0,1.0
11.0,12.0,35.0,56.0,1.0,11.0,195.0,1.0
11.0,12.0,35.0,29.0,2.0,11.0,105.0,1.0
11.0,12.0,32.0,86.0,1.0,11.0,42.0,1.0
11.0,12.0,35.0,57.0,1.0,11.0,84.0,1.0
11.0,12.0,35.0,81.0,1.0,11.0,40.0,1.0
11.0,17.0,35.0,38.0,2.0,21.0,42.0,1.0
11.0,12.0,36.0,45.0,2.0,11.0,300.0,1.0
11.0,12.0,35.0,47.0,2.0,11.0,56.0,1.0
11.0,12.0,32.0,63.0,1.0,11.0,40.0,1.0
11.0,12.0,36.0,35.0,1.0,11.0,60.0,0.0
11.0,31.0,36.0,37.0,2.0,51.0,35.0,1.0
11.0,12.0,36.0,41.0,2.0,11.0,48.0,1.0
11.0,31.0,23.0,45.0,2.0,31.0,42.0,1.0
11.0,12.0,36.0,62.0,2.0,11.0,80.0,1.0
11.0,12.0,35.0,57.0,1.0,11.0,300.0,1.0
11.0,17.0,35.0,39.0,1.0,21.0,24.0,1.0
11.0,12.0,35.0,44.0,1.0,11.0,100.0,1.0
11.0,12.0,36.0,75.0,2.0,11.0,36.0,1.0
11.0,31.0,36.0,30.0,2.0,31.0,57.0,1.0
11.0,12.0,36.0,65.0,1.0,11.0,45.0,1.0
11.0,12.0,35.0,59.0,1.0,11.0,90.0,1.0
11.0,12.0,35.0,42.0,1.0,11.0,50.0,1.0
11.0,17.0,36.0,52.0,2.0,21.0,36.0,1.0
11.0,12.0,36.0,36.0,3.0,11.0,96.0,1.0
11.0,12.0,35.0,57.0,3.0,11.0,96.0,1.0
11.0,12.0,36.0,43.0,3.0,11.0,36.0,1.0
11.0,12.0,35.0,75.0,3.0,11.0,80.0,1.0
11.0,12.0,36.0,51.0,3.0,11.0,150.0,1.0
11.0,12.0,35.0,50.0,3.0,11.0,120.0,1.0
11.0,31.0,36.0,29.0,3.0,51.0,30.0,1.0
11.0,12.0,36.0,61.0,3.0,11.0,50.0,1.0
11.0,31.0,36.0,50.0,3.0,51.0,20.0,1.0
11.0,12.0,23.0,45.0,3.0,11.0,155.0,1.0
11.0,12.0,36.0,47.0,3.0,11.0,42.0,1.0
