DC024,DC025,DC205,DC206,DC207,DC208,DC209,DC210,DC211,DC212,DC213,DC214,DC215,DC216,DC217,DC219,DC220,DC226,DC230a,DC230b,DC232,DC232b,DC235,DC237,DC237a,DC237b,DC237c,DC237d,DC237e,DC237f,DC241,DC242,DC244,DC246,DC252,DC270a,DC109,DC142a,DC201
11,2,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,35.0,31.0,1.0,2,1,22.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,31.0,42.0,0.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,36.0,31.0,1.0,2,1,31.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,31.0,40.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,36.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5,11.0,57.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,35.0,31.0,1.0,2,1,55.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4,12.0,90.0,1.0
11,2,31.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,33.0,35.0,31.0,3.0,4,1,55.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,31.0,96.0,0.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,36.0,31.0,2.0,4,1,44.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,12.0,60.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,36.0,31.0,1.0,2,1,59.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,12.0,47.0,1.0
11,2,21.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,22.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,41.0,104.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,33.0,35.0,31.0,1.0,2,1,37.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5,11.0,78.0,1.0
11,2,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,36.0,31.0,1.0,2,2,53.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,12.0,45.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,36.0,31.0,2.0,4,1,55.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,11.0,152.0,0.0
11,2,31.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,36.0,31.0,1.0,2,1,31.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,31.0,47.0,1.0
11,2,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,3.0,4,1,45.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,12.0,42.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,47.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5,12.0,54.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,2.0,3,2,66.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,11.0,47.0,1.0
11,2,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,2.0,2,1,36.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,31.0,84.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,35.0,31.0,3.0,4,1,45.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4,11.0,75.0,1.0
11,2,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,36.0,31.0,3.0,2,1,41.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,31.0,50.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,36.0,31.0,1.0,2,1,40.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2,31.0,73.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,38.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4,11.0,76.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,48.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,31.0,56.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,63.0,8.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,31.0,62.0,1.0
11,2,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,36.0,31.0,2.0,2,2,65.0,8.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,11.0,60.0,1.0
11,2,16.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,36.0,31.0,1.0,2,1,34.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,12.0,24.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,2,61.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,11.0,72.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,36.0,31.0,2.0,2,1,43.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3,11.0,57.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,33.0,35.0,31.0,2.0,4,2,53.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,12.0,90.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,35.0,31.0,2.0,3,2,80.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2,12.0,112.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,52.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,11.0,82.0,1.0
11,1,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,72.0,8.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,31.0,48.0,0.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,2,1,45.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,11.0,84.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,4,2,59.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4,11.0,998.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,36.0,31.0,2.0,2,1,33.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,11.0,90.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,36.0,31.0,1.0,2,1,33.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,11.0,72.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,36.0,31.0,2.0,2,1,33.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,11.0,57.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,36.0,31.0,1.0,2,1,34.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,11.0,60.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,35.0,31.0,1.0,2,1,34.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,12.0,50.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,2,1,38.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,11.0,62.0,1.0
11,1,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,35.0,31.0,1.0,2,1,40.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,31.0,36.0,1.0
11,1,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,32.0,31.0,1.0,4,1,62.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,11.0,62.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,43.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,11.0,60.0,1.0
11,1,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,4.0,4,1,57.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,12.0,90.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,49.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,11.0,72.0,1.0
11,1,16.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,44.0,8.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,12.0,72.0,1.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,2.0,2,2,54.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,11.0,70.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,2,1,57.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,12.0,90.0,1.0
11,1,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,35.0,31.0,3.0,4,1,55.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,12.0,78.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,2,1,52.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,12.0,60.0,1.0
11,1,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,1.0,2,1,73.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1,12.0,120.0,0.0
11,1,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,38.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3,11.0,74.0,1.0
11,1,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,32.0,31.0,1.0,1,2,65.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,11.0,60.0,1.0
11,1,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,35.0,31.0,2.0,4,1,65.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,12.0,75.0,0.0
11,1,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,1.0,2,1,35.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1,12.0,30.0,0.0
11,1,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,2,1,50.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1,12.0,84.0,0.0
11,1,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,36.0,31.0,2.0,3,2,70.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1,12.0,84.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,1.0,1,1,22.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,12.0,72.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,3.0,4,1,32.0,8.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,12.0,100.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,58.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,31.0,60.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,1.0,2,1,49.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5,11.0,80.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,36.0,31.0,2.0,4,1,66.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,12.0,62.0,1.0
11,2,16.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,35.0,31.0,1.0,2,1,38.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,12.0,35.0,1.0
11,2,16.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,3.0,2,1,54.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5,12.0,250.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,2,1,43.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4,12.0,54.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,57.0,8.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2,31.0,150.0,0.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,32.0,31.0,3.0,4,1,49.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,31.0,70.0,1.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,32.0,31.0,4.0,5,1,58.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,11.0,76.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,3.0,4,1,43.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,12.0,96.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,60.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4,31.0,48.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,1,51.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4,12.0,75.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,72.0,8.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,31.0,48.0,0.0
11,2,31.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,35.0,31.0,2.0,3,2,77.0,8.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,2,31.0,80.0,0.0
11,2,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,3.0,4,1,54.0,8.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4,11.0,84.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,3.0,4,1,49.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2,31.0,54.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,32.0,31.0,1.0,2,1,39.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,31.0,36.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,31.0,1.0,2,1,37.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,31.0,72.0,1.0
11,2,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,62.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2,12.0,66.0,1.0
11,2,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,35.0,31.0,2.0,4,2,42.0,8.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2,31.0,48.0,0.0
11,2,31.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,65.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4,31.0,115.0,1.0
11,2,31.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,35.0,35.0,31.0,2.0,2,2,71.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,31.0,90.0,1.0
11,2,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,35.0,35.0,31.0,2.0,2,2,52.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,12.0,72.0,0.0
11,2,12.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,33.0,35.0,31.0,3.0,4,1,48.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5,11.0,72.0,1.0
11,2,31.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,31.0,2.0,4,1,57.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4,31.0,70.0,1.0
