id,DC201
4430,Layak Minum
24377,Layak Minum
23285,Layak Minum
15949,Layak Minum
4680,Layak Minum
18536,Layak Minum
36910,Layak Minum
38787,Layak Minum
25458,Layak Minum
13004,Layak Minum
27678,Layak Minum
11368,Layak Minum
8403,Layak Minum
5881,Layak Minum
17964,Layak Minum
29480,Layak Minum
9711,Layak Minum
22758,Layak Minum
6959,Layak Minum
45519,Layak Minum
5124,Layak Minum
33819,Layak Minum
21848,Layak Minum
327,Layak Minum
25142,Layak Minum
20710,Layak Minum
15867,Layak Minum
6667,Layak Minum
19288,Layak Minum
15027,Layak Minum
26907,Layak Minum
9043,Layak Minum
46500,Layak Minum
10302,Layak Minum
10881,Layak Minum
4776,Layak Minum
24373,Layak Minum
40109,Layak Minum
716,Layak Minum
22024,Layak Minum
12097,Layak Minum
31996,Layak Minum
21182,Layak Minum
20221,Layak Minum
350,Layak Minum
43922,Layak Minum
45260,Layak Minum
10919,Layak Minum
6910,Layak Minum
39246,Layak Minum
42829,Layak Minum
3769,Layak Minum
14186,Layak Minum
10730,Layak Minum
25061,Layak Minum
15034,Layak Minum
10434,Layak Minum
597,Layak Minum
4538,Layak Minum
13250,Layak Minum
16143,Layak Minum
24322,Layak Minum
2497,Layak Minum
36313,Layak Minum
16493,Layak Minum
1040,Layak Minum
18395,Layak Minum
39518,Layak Minum
12372,Layak Minum
9843,Layak Minum
42416,Layak Minum
16656,Layak Minum
14291,Layak Minum
22969,Layak Minum
44625,Layak Minum
42390,Layak Minum
27883,Layak Minum
24118,Layak Minum
20878,Layak Minum
6174,Layak Minum
23868,Layak Minum
16131,Layak Minum
4390,Layak Minum
29503,Layak Minum
24092,Layak Minum
46619,Layak Minum
38499,Layak Minum
4830,Layak Minum
27897,Layak Minum
42745,Layak Minum
3795,Layak Minum
35020,Layak Minum
7715,Layak Minum
15999,Layak Minum
887,Layak Minum
46352,Layak Minum
40784,Layak Minum
30728,Layak Minum
6618,Layak Minum
312,Layak Minum
4963,Layak Minum
37196,Layak Minum
6985,Layak Minum
29964,Layak Minum
8500,Layak Minum
2841,Layak Minum
38773,Layak Minum
30651,Layak Minum
28754,Layak Minum
3734,Layak Minum
36949,Layak Minum
35645,Layak Minum
18762,Layak Minum
17466,Layak Minum
34648,Layak Minum
5224,Layak Minum
12827,Layak Minum
26288,Layak Minum
39061,Layak Minum
19306,Layak Minum
25048,Layak Minum
8946,Layak Minum
15212,Layak Minum
2328,Layak Minum
37780,Layak Minum
37485,Layak Minum
2155,Layak Minum
39257,Layak Minum
42053,Layak Minum
8670,Layak Minum
15497,Layak Minum
40992,Layak Minum
34056,Layak Minum
41834,Layak Minum
28371,Layak Minum
5781,Layak Minum
14883,Layak Minum
46128,Layak Minum
3895,Layak Minum
37680,Layak Minum
14034,Layak Minum
5847,Layak Minum
41372,Layak Minum
42954,Layak Minum
630,Layak Minum
46869,Layak Minum
11145,Layak Minum
13170,Layak Minum
41223,Layak Minum
6459,Layak Minum
4576,Layak Minum
10646,Layak Minum
24325,Layak Minum
25995,Layak Minum
4161,Layak Minum
30671,Layak Minum
24949,Layak Minum
26089,Layak Minum
13811,Layak Minum
45209,Layak Minum
552,Layak Minum
34957,Layak Minum
42209,Layak Minum
19970,Layak Minum
42303,Layak Minum
11440,Layak Minum
40600,Layak Minum
23920,Layak Minum
12870,Layak Minum
14673,Layak Minum
18221,Layak Minum
43675,Layak Minum
8030,Layak Minum
20944,Layak Minum
6680,Layak Minum
40315,Layak Minum
6158,Layak Minum
32561,Layak Minum
13436,Layak Minum
39495,Layak Minum
19819,Layak Minum
9993,Layak Minum
25286,Layak Minum
8741,Layak Minum
15345,Layak Minum
35136,Layak Minum
34615,Layak Minum
25295,Layak Minum
27713,Layak Minum
6170,Layak Minum
44262,Layak Minum
33960,Layak Minum
17516,Layak Minum
46127,Layak Minum
1620,Layak Minum
46097,Layak Minum
5734,Layak Minum
47367,Layak Minum
25759,Layak Minum
27506,Layak Minum
7907,Layak Minum
39775,Layak Minum
29477,Layak Minum
30565,Layak Minum
7516,Layak Minum
46037,Layak Minum
24904,Layak Minum
5267,Layak Minum
21601,Layak Minum
3846,Layak Minum
45157,Layak Minum
12205,Layak Minum
11035,Layak Minum
4535,Layak Minum
14336,Layak Minum
5725,Layak Minum
43058,Layak Minum
47695,Layak Minum
33213,Layak Minum
20604,Layak Minum
1800,Layak Minum
22692,Layak Minum
46375,Layak Minum
39468,Layak Minum
1045,Layak Minum
37285,Layak Minum
19770,Layak Minum
32123,Layak Minum
46759,Layak Minum
3557,Layak Minum
5281,Layak Minum
25542,Layak Minum
15270,Layak Minum
22775,Layak Minum
26799,Layak Minum
20265,Layak Minum
21268,Layak Minum
16432,Layak Minum
28605,Layak Minum
37502,Layak Minum
7102,Layak Minum
20080,Layak Minum
4833,Layak Minum
12719,Layak Minum
5902,Layak Minum
26809,Layak Minum
34725,Layak Minum
38205,Layak Minum
28098,Layak Minum
13210,Layak Minum
11612,Layak Minum
25108,Layak Minum
2684,Layak Minum
42305,Layak Minum
35508,Layak Minum
39559,Layak Minum
16344,Layak Minum
30658,Layak Minum
41715,Layak Minum
24111,Layak Minum
25141,Layak Minum
10537,Layak Minum
2631,Layak Minum
28642,Layak Minum
28601,Layak Minum
7225,Layak Minum
10517,Layak Minum
11887,Layak Minum
22318,Layak Minum
23900,Layak Minum
11249,Layak Minum
26832,Layak Minum
18943,Layak Minum
28143,Layak Minum
21283,Layak Minum
20405,Layak Minum
22876,Layak Minum
37203,Layak Minum
2636,Layak Minum
9165,Layak Minum
44044,Layak Minum
45485,Layak Minum
15380,Layak Minum
6691,Layak Minum
32010,Layak Minum
39458,Layak Minum
27998,Layak Minum
22882,Layak Minum
42492,Layak Minum
44059,Layak Minum
24517,Layak Minum
6388,Layak Minum
19151,Layak Minum
47907,Layak Minum
20525,Layak Minum
29860,Layak Minum
12923,Layak Minum
5602,Layak Minum
43478,Layak Minum
6372,Layak Minum
10716,Layak Minum
6111,Layak Minum
3619,Layak Minum
30660,Layak Minum
19232,Layak Minum
6322,Layak Minum
20741,Layak Minum
23537,Layak Minum
38566,Layak Minum
26775,Layak Minum
2860,Layak Minum
24133,Layak Minum
32819,Layak Minum
40988,Layak Minum
47924,Layak Minum
45868,Layak Minum
20414,Layak Minum
41022,Layak Minum
11333,Layak Minum
11539,Layak Minum
32383,Layak Minum
12972,Layak Minum
41791,Layak Minum
9205,Layak Minum
23339,Layak Minum
42202,Layak Minum
2589,Layak Minum
37664,Layak Minum
6184,Layak Minum
46986,Layak Minum
818,Layak Minum
19853,Layak Minum
38012,Layak Minum
19633,Layak Minum
22595,Layak Minum
10783,Layak Minum
6704,Layak Minum
18199,Layak Minum
26635,Layak Minum
14347,Layak Minum
41425,Layak Minum
40561,Layak Minum
14288,Layak Minum
41912,Layak Minum
20346,Layak Minum
46061,Layak Minum
20658,Layak Minum
40027,Layak Minum
8751,Layak Minum
12647,Layak Minum
189,Layak Minum
19889,Layak Minum
16977,Layak Minum
37165,Layak Minum
28039,Layak Minum
12656,Layak Minum
39112,Layak Minum
26815,Layak Minum
18373,Layak Minum
8770,Layak Minum
11187,Layak Minum
5258,Layak Minum
45309,Layak Minum
24643,Layak Minum
2342,Layak Minum
18540,Layak Minum
38549,Layak Minum
10065,Layak Minum
38924,Layak Minum
35955,Layak Minum
39100,Layak Minum
20476,Layak Minum
6108,Layak Minum
15096,Layak Minum
26329,Layak Minum
3751,Layak Minum
41968,Layak Minum
23791,Layak Minum
610,Layak Minum
7220,Layak Minum
29943,Layak Minum
38632,Layak Minum
28242,Layak Minum
18761,Layak Minum
44998,Layak Minum
34453,Layak Minum
1885,Layak Minum
10228,Layak Minum
38983,Layak Minum
3628,Layak Minum
21131,Layak Minum
35972,Layak Minum
2785,Layak Minum
365,Layak Minum
25622,Layak Minum
31839,Layak Minum
8292,Layak Minum
23345,Layak Minum
3837,Layak Minum
10157,Layak Minum
19284,Layak Minum
44146,Layak Minum
29468,Layak Minum
7162,Layak Minum
30889,Layak Minum
11273,Layak Minum
44242,Layak Minum
28176,Layak Minum
25763,Layak Minum
6564,Layak Minum
3747,Layak Minum
47860,Layak Minum
21237,Layak Minum
32121,Layak Minum
839,Layak Minum
6321,Layak Minum
86,Layak Minum
13903,Layak Minum
37151,Layak Minum
7606,Layak Minum
22902,Layak Minum
7092,Layak Minum
23281,Layak Minum
10489,Layak Minum
2869,Layak Minum
14109,Layak Minum
19238,Layak Minum
6164,Layak Minum
11040,Layak Minum
44024,Layak Minum
8086,Layak Minum
2333,Layak Minum
21068,Layak Minum
6213,Layak Minum
37741,Layak Minum
5211,Layak Minum
22136,Layak Minum
11136,Layak Minum
29399,Layak Minum
39550,Layak Minum
19143,Layak Minum
35073,Layak Minum
9805,Layak Minum
23821,Layak Minum
5941,Layak Minum
25500,Layak Minum
21978,Layak Minum
47687,Layak Minum
34490,Layak Minum
1198,Layak Minum
30268,Layak Minum
2362,Layak Minum
19236,Layak Minum
34657,Layak Minum
37559,Layak Minum
28320,Layak Minum
25046,Layak Minum
21814,Layak Minum
33758,Layak Minum
6428,Layak Minum
2363,Layak Minum
3801,Layak Minum
33479,Layak Minum
21365,Layak Minum
5260,Layak Minum
6775,Layak Minum
12769,Layak Minum
17474,Layak Minum
9251,Layak Minum
19286,Layak Minum
45775,Layak Minum
34495,Layak Minum
22071,Layak Minum
47082,Layak Minum
9882,Layak Minum
25749,Layak Minum
23727,Layak Minum
4540,Layak Minum
3079,Layak Minum
28591,Layak Minum
33605,Layak Minum
41910,Layak Minum
35701,Layak Minum
38852,Layak Minum
977,Layak Minum
13334,Layak Minum
1002,Layak Minum
30719,Layak Minum
7514,Layak Minum
10685,Layak Minum
44095,Layak Minum
16204,Layak Minum
20218,Layak Minum
23169,Layak Minum
34263,Layak Minum
3164,Layak Minum
46982,Layak Minum
38848,Layak Minum
23302,Layak Minum
14781,Layak Minum
27362,Layak Minum
14400,Layak Minum
3321,Layak Minum
9065,Layak Minum
2247,Layak Minum
380,Layak Minum
12326,Layak Minum
2242,Layak Minum
8575,Layak Minum
18646,Layak Minum
30145,Layak Minum
22856,Layak Minum
14312,Layak Minum
15216,Layak Minum
33509,Layak Minum
43965,Layak Minum
21817,Layak Minum
27972,Layak Minum
15287,Layak Minum
46080,Layak Minum
14304,Layak Minum
16979,Layak Minum
33787,Layak Minum
17422,Layak Minum
41009,Layak Minum
10368,Layak Minum
17558,Layak Minum
31188,Layak Minum
37864,Layak Minum
1596,Layak Minum
10275,Layak Minum
35293,Layak Minum
38655,Layak Minum
6955,Layak Minum
38724,Layak Minum
17897,Layak Minum
20217,Layak Minum
37467,Layak Minum
5819,Layak Minum
21921,Layak Minum
16921,Layak Minum
43884,Layak Minum
38149,Layak Minum
28215,Layak Minum
15581,Layak Minum
5098,Layak Minum
22099,Layak Minum
21799,Layak Minum
21548,Layak Minum
5886,Layak Minum
22861,Layak Minum
23981,Layak Minum
4452,Layak Minum
45206,Layak Minum
7955,Layak Minum
45190,Layak Minum
20843,Layak Minum
42505,Layak Minum
10395,Layak Minum
15428,Layak Minum
17350,Layak Minum
21503,Layak Minum
8377,Layak Minum
29658,Layak Minum
25203,Layak Minum
33451,Layak Minum
35526,Layak Minum
7440,Layak Minum
41868,Layak Minum
43629,Layak Minum
9226,Layak Minum
42903,Layak Minum
43878,Layak Minum
37487,Layak Minum
28087,Layak Minum
27902,Layak Minum
46670,Layak Minum
39065,Layak Minum
38578,Layak Minum
14041,Layak Minum
36448,Layak Minum
47809,Layak Minum
1340,Layak Minum
45512,Layak Minum
47751,Layak Minum
3737,Layak Minum
22399,Layak Minum
23644,Layak Minum
5982,Layak Minum
44612,Layak Minum
47,Layak Minum
25022,Layak Minum
9180,Layak Minum
21997,Layak Minum
20114,Layak Minum
10615,Layak Minum
6909,Layak Minum
27913,Layak Minum
21651,Layak Minum
21028,Layak Minum
33645,Layak Minum
10794,Layak Minum
23168,Layak Minum
29294,Layak Minum
18119,Layak Minum
2327,Layak Minum
36951,Layak Minum
42231,Layak Minum
12854,Layak Minum
18970,Layak Minum
6166,Layak Minum
47816,Layak Minum
39914,Layak Minum
21073,Layak Minum
34478,Layak Minum
32381,Layak Minum
24296,Layak Minum
10258,Layak Minum
33768,Layak Minum
29965,Layak Minum
4581,Layak Minum
23096,Layak Minum
42255,Layak Minum
7572,Layak Minum
32708,Layak Minum
1084,Layak Minum
901,Layak Minum
47622,Layak Minum
30142,Layak Minum
29599,Layak Minum
19015,Layak Minum
14078,Layak Minum
44039,Layak Minum
44078,Layak Minum
21544,Layak Minum
18561,Layak Minum
5419,Layak Minum
7810,Layak Minum
43704,Layak Minum
42971,Layak Minum
9011,Layak Minum
34328,Layak Minum
20868,Layak Minum
42336,Layak Minum
42315,Layak Minum
1766,Layak Minum
38444,Layak Minum
42578,Layak Minum
18229,Layak Minum
19407,Layak Minum
45313,Layak Minum
21600,Layak Minum
43640,Layak Minum
21602,Layak Minum
1119,Layak Minum
4067,Layak Minum
42124,Layak Minum
13907,Layak Minum
20640,Layak Minum
33223,Layak Minum
