id,DC024,DC025,DC205,DC206,DC207,DC208,DC209,DC210,DC211,DC212,DC213,DC214,DC215,DC216,DC217,DC219,DC220,DC226,DC230a,DC230b,DC232,DC232b,DC235,DC237,DC237a,DC237b,DC237c,DC237d,DC237e,DC237f,DC241,DC242,DC244,DC246,DC252,DC270a,DC109,DC142a,DC201
57,11,2,31,1,0,1,0,1,1,0,35,36,31,2,4,1,57,2,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,0,1,2,31,62,Layak Minum
58,11,2,12,1,0,1,1,0,1,0,33,35,31,2,4,1,62,8,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,1,0,3,11,74,Layak Minum
59,11,2,12,1,0,1,1,0,1,0,35,35,31,2,1,2,61,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,NA,1,4,11,35,Layak Minum
60,11,2,12,1,0,1,1,0,1,1,35,35,31,3,4,1,45,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,4,11,75,Layak Minum
61,11,2,16,1,0,1,0,0,1,0,35,35,31,3,4,1,58,8,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,1,1,2,12,71,Layak Minum
62,11,2,31,0,0,0,0,0,1,0,35,36,31,3,2,1,41,8,1,1,0,0,3,1,1,0,0,0,0,0,1,1,0,0,1,1,31,50,Layak Minum
67,11,2,31,1,0,1,0,0,1,0,35,36,31,1,2,1,40,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,2,31,73,Layak Minum
68,11,2,12,1,0,1,1,0,1,0,33,35,31,2,4,1,38,8,2,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,4,11,76,Layak Minum
69,11,2,31,1,0,1,0,0,1,0,33,35,31,2,4,1,48,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,3,31,56,Layak Minum
70,11,2,31,1,0,1,0,0,1,0,35,35,31,2,4,1,63,8,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,2,31,62,Layak Minum
71,11,2,12,1,0,1,0,0,0,0,21,36,31,2,2,2,65,8,1,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,11,60,Layak Minum
72,11,2,16,1,0,0,0,1,1,0,35,36,31,1,2,1,34,8,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,12,24,Layak Minum
73,11,2,12,1,0,1,0,0,1,0,35,35,31,3,4,1,44,8,2,1,1,0,1,0,0,0,0,0,0,0,2,NA,1,1,1,2,11,71,Layak Minum
74,11,1,12,1,0,1,1,0,1,0,33,35,31,2,4,2,61,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,11,72,Layak Minum
76,11,1,12,1,0,1,1,1,1,1,35,36,31,2,2,1,43,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3,11,57,Layak Minum
77,11,1,16,1,0,1,1,0,1,1,33,35,31,2,4,2,53,2,1,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,2,12,90,Layak Minum
79,11,1,16,1,0,1,1,0,1,1,35,35,31,2,3,2,80,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,4,2,12,112,Layak Minum
81,11,1,12,1,0,1,1,1,1,0,33,35,31,2,4,1,52,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,4,11,82,Layak Minum
83,11,1,31,1,0,0,0,0,1,0,35,35,31,2,4,1,72,8,2,0,0,0,2,1,1,0,0,0,0,0,1,1,0,1,1,1,31,48,Tidak Layak Minum
84,11,1,31,1,0,0,0,0,1,0,35,35,31,2,4,2,52,8,1,1,1,0,2,1,1,0,0,1,0,0,2,NA,0,1,1,1,32,36,Layak Minum
88,11,1,12,1,0,1,1,0,1,0,35,35,31,2,2,1,45,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,11,84,Layak Minum
90,11,1,12,1,0,1,1,1,1,0,33,35,31,2,4,2,59,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,2,4,11,998,Layak Minum
92,11,1,12,1,0,1,1,1,1,0,35,36,31,2,2,1,33,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,3,11,90,Layak Minum
93,11,1,12,1,0,1,1,0,1,0,35,36,31,1,2,1,33,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,1,1,2,11,72,Layak Minum
94,11,1,12,1,0,1,1,1,1,0,35,36,31,2,2,1,33,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,11,57,Layak Minum
95,11,1,12,1,0,1,1,1,1,0,35,36,31,1,2,1,34,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,3,11,60,Layak Minum
96,11,1,16,1,0,1,1,0,1,1,35,35,31,1,2,1,34,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,1,1,2,12,50,Layak Minum
97,11,1,12,1,0,1,1,1,1,0,33,35,31,2,2,1,38,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,11,62,Layak Minum
98,11,1,31,0,0,0,0,0,1,0,33,35,31,1,2,1,40,2,1,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,31,36,Layak Minum
99,11,1,12,1,0,0,0,1,0,0,35,32,31,1,4,1,62,2,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,11,62,Layak Minum
100,11,1,12,1,0,1,1,0,1,0,35,35,31,2,4,1,43,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,11,60,Layak Minum
101,11,1,16,0,0,1,1,0,1,0,33,35,31,4,4,1,57,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,1,1,2,12,90,Layak Minum
102,11,1,12,1,0,1,1,0,1,0,33,35,31,2,4,1,49,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,3,11,72,Layak Minum
103,11,1,31,1,0,1,0,1,1,0,35,35,31,2,2,1,43,8,2,1,1,0,2,1,1,0,0,1,0,0,2,NA,1,0,1,1,31,62,Layak Minum
104,11,1,16,1,0,1,0,1,1,0,35,35,31,2,4,1,44,8,1,1,1,0,3,1,1,0,0,1,0,0,1,1,0,1,1,1,12,72,Layak Minum
106,11,1,12,1,0,1,1,0,0,0,35,35,31,2,2,2,54,2,2,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,11,70,Layak Minum
108,11,1,31,0,0,0,0,1,1,0,35,32,12,1,2,1,49,8,2,1,0,0,1,0,0,0,0,0,0,0,2,NA,0,1,1,1,31,41,Layak Minum
109,11,1,16,1,0,1,1,0,1,0,35,35,31,2,2,1,57,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,12,90,Layak Minum
110,11,1,16,1,0,1,0,0,0,0,35,35,31,3,4,1,55,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,1,1,1,12,78,Layak Minum
111,11,1,16,1,0,1,1,0,1,0,35,35,31,2,2,1,52,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,12,60,Layak Minum
113,11,1,16,1,0,0,1,0,0,0,35,35,31,1,2,1,73,8,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,4,1,12,120,Tidak Layak Minum
114,11,1,12,1,0,1,1,0,1,0,33,35,31,2,4,1,38,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,4,3,11,74,Layak Minum
115,11,1,12,1,0,1,0,0,0,0,35,32,31,1,1,2,65,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,11,60,Layak Minum
116,11,1,16,1,0,1,1,0,1,0,21,35,31,2,4,1,65,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,12,75,Tidak Layak Minum
119,11,1,16,1,0,1,0,0,1,0,35,35,31,1,2,1,35,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,12,30,Tidak Layak Minum
122,11,1,16,1,0,1,0,0,1,0,35,35,31,2,2,1,50,8,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,0,3,1,12,84,Tidak Layak Minum
123,11,1,16,1,0,1,0,0,0,0,21,36,31,2,3,2,70,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,0,3,1,12,84,Layak Minum
124,11,2,16,1,0,1,1,0,0,0,35,35,31,1,1,1,22,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,12,72,Layak Minum
126,11,2,31,1,0,1,0,0,1,0,35,32,31,1,2,2,51,8,2,1,1,0,1,1,1,0,0,0,0,0,2,NA,0,0,1,1,31,68,Layak Minum
130,11,2,16,1,0,1,1,0,1,0,35,35,31,3,4,1,32,8,1,1,1,0,3,0,0,0,0,0,0,0,1,1,1,0,1,3,12,100,Layak Minum
131,11,2,31,1,0,1,0,0,1,0,35,35,31,2,4,1,58,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,3,31,60,Layak Minum
133,11,2,12,1,0,1,1,0,1,0,33,35,31,1,2,1,49,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,5,11,80,Layak Minum
134,11,2,31,1,0,0,0,0,0,0,35,35,31,1,1,2,71,8,5,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,0,0,4,1,31,105,Layak Minum
135,11,2,16,1,0,1,0,0,1,0,35,35,31,1,2,1,62,8,1,1,1,0,1,0,0,0,0,0,0,0,2,NA,0,0,0,1,12,42,Tidak Layak Minum
136,11,2,16,1,0,1,1,1,1,0,35,36,31,2,4,1,66,2,2,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,3,12,62,Layak Minum
138,11,2,16,1,0,0,0,0,0,0,35,32,31,1,1,2,70,8,1,1,1,0,1,1,1,0,0,0,0,0,2,NA,0,0,0,1,12,62,Layak Minum
147,11,2,16,1,0,1,0,1,1,0,35,35,31,1,2,1,38,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,1,0,1,3,12,35,Layak Minum
149,11,2,12,1,0,1,1,0,1,0,35,35,31,2,4,1,47,8,1,1,1,0,2,1,1,0,0,0,0,0,2,NA,1,1,0,3,11,77,Layak Minum
150,11,2,16,1,0,0,1,1,1,0,33,35,31,3,2,1,54,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,2,5,12,250,Layak Minum
152,11,2,16,1,0,1,1,1,1,0,33,35,31,2,2,1,43,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,1,3,4,12,54,Layak Minum
153,11,2,31,1,0,1,1,0,1,0,35,35,31,2,4,1,57,8,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,2,2,31,150,Tidak Layak Minum
154,11,2,31,1,0,1,0,0,1,0,33,32,31,3,4,1,49,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,3,31,70,Layak Minum
155,11,2,12,1,0,1,1,0,1,0,33,32,31,4,5,1,58,2,1,1,1,0,2,1,1,0,0,0,0,0,1,0,1,1,1,4,11,76,Layak Minum
156,11,2,16,1,0,1,1,0,1,0,33,35,31,3,4,1,43,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,3,12,96,Layak Minum
157,11,2,31,1,0,1,1,1,1,0,33,35,31,2,4,1,60,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,0,1,4,31,48,Layak Minum
158,11,2,16,1,0,1,1,0,1,0,33,35,31,2,4,1,51,2,1,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,1,4,12,75,Layak Minum
159,11,2,31,1,0,1,1,0,1,0,35,35,31,2,4,1,72,8,2,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,1,2,31,48,Tidak Layak Minum
162,11,2,31,1,0,1,1,0,0,0,35,35,31,2,3,2,77,8,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,4,2,31,80,Tidak Layak Minum
163,11,2,12,1,0,1,1,0,1,0,35,35,31,3,4,1,54,8,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,1,4,11,84,Layak Minum
165,11,2,31,1,0,0,0,0,0,0,35,32,31,1,3,2,41,8,1,1,1,0,2,1,1,0,0,0,0,0,2,NA,0,0,0,1,31,62,Layak Minum
166,11,2,31,1,0,1,0,0,1,0,35,35,31,3,4,1,49,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,2,31,54,Layak Minum
168,11,2,31,1,0,1,1,1,1,0,35,32,31,1,2,1,39,2,1,1,1,0,2,1,1,0,0,0,0,0,1,0,1,1,1,3,31,36,Layak Minum
170,11,2,12,1,0,1,1,0,1,0,33,35,31,2,4,1,48,8,1,1,1,0,1,1,1,0,0,0,0,0,2,NA,0,0,0,3,11,70,Layak Minum
171,11,2,31,1,0,1,1,1,1,0,35,35,31,1,2,1,37,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,4,31,72,Layak Minum
172,11,2,16,1,0,1,0,0,1,0,35,35,31,2,4,1,62,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,3,2,12,66,Layak Minum
173,11,2,31,1,0,1,0,0,1,0,33,35,31,2,4,2,42,8,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,2,2,31,48,Tidak Layak Minum
174,11,2,31,1,0,1,1,1,1,0,35,35,31,2,4,1,65,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,4,31,115,Layak Minum
175,11,2,31,1,0,0,1,1,1,0,35,35,31,2,2,2,71,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,1,1,3,31,90,Layak Minum
176,11,2,16,1,0,1,0,1,1,0,33,35,31,2,4,1,46,8,1,1,1,0,3,1,1,0,0,0,0,0,3,NA,1,1,1,2,12,84,Tidak Layak Minum
177,11,2,31,1,0,0,0,0,1,0,35,35,31,2,4,2,58,8,1,1,1,0,2,1,1,0,0,0,0,0,3,NA,1,0,0,2,31,65,Layak Minum
178,11,2,31,1,0,1,1,1,1,0,35,35,31,2,4,1,47,8,1,1,1,0,2,1,1,0,0,0,0,0,2,NA,1,0,0,2,31,78,Layak Minum
179,11,2,16,1,0,1,1,0,1,0,35,35,31,2,2,2,52,8,1,1,0,0,3,1,1,0,0,0,0,0,1,1,0,0,1,2,12,72,Tidak Layak Minum
180,11,2,12,1,0,1,1,1,1,0,33,35,31,3,4,1,48,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,5,11,72,Layak Minum
181,11,2,31,1,0,1,1,1,1,0,35,35,31,2,4,1,57,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,4,31,70,Layak Minum
182,11,2,31,1,0,1,0,1,1,0,35,35,31,2,4,1,51,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,1,2,31,80,Tidak Layak Minum
183,11,2,16,1,0,1,0,0,0,0,35,35,31,2,4,1,67,8,1,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,0,1,1,12,71,Layak Minum
184,11,2,31,1,0,1,1,0,1,0,35,35,31,2,4,2,52,8,1,1,1,0,1,1,1,0,0,0,0,0,2,NA,1,1,1,2,31,73,Layak Minum
185,11,2,31,1,0,0,0,0,0,0,35,35,31,1,1,2,76,8,5,NA,NA,NA,3,1,1,0,0,0,0,0,1,1,0,0,4,1,31,48,Tidak Layak Minum
186,11,2,12,1,0,1,0,0,0,0,35,35,31,2,2,1,69,8,1,1,0,0,1,1,1,0,0,0,0,0,2,NA,1,0,0,1,11,65,Layak Minum
188,11,2,31,1,0,1,0,1,1,0,35,35,31,2,4,1,52,8,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,1,1,1,31,56,Tidak Layak Minum
190,11,2,16,1,0,1,1,0,1,0,35,35,31,2,4,2,79,8,2,1,0,0,1,1,1,0,0,0,0,0,2,NA,0,0,1,2,12,73,Layak Minum
191,11,2,31,1,0,1,0,0,0,0,35,35,31,2,4,2,61,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,0,0,2,2,31,50,Tidak Layak Minum
192,11,2,12,1,0,1,1,1,1,0,35,35,31,2,2,1,46,2,2,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,4,11,85,Layak Minum
193,11,2,31,1,0,0,0,0,1,0,21,36,31,2,2,1,50,2,2,1,0,0,2,1,1,0,0,0,0,0,1,1,1,0,1,2,31,65,Layak Minum
194,11,2,31,1,0,0,0,0,0,0,35,35,31,1,2,2,35,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,0,0,0,1,31,32,Tidak Layak Minum
195,11,2,31,1,0,1,0,1,1,0,35,35,31,3,4,1,61,2,2,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,3,31,70,Layak Minum
196,11,2,12,1,0,1,1,1,1,0,35,35,31,2,2,1,45,2,2,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,3,11,83,Layak Minum
197,11,2,31,1,0,1,0,0,1,0,35,35,31,1,2,1,51,8,1,1,0,0,3,1,1,0,0,0,0,0,1,1,1,1,1,1,31,70,Tidak Layak Minum
198,11,2,16,1,0,1,0,1,1,0,35,35,31,2,2,1,39,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,1,3,12,98,Tidak Layak Minum
200,11,2,17,1,0,1,1,1,1,0,35,36,31,1,2,1,36,8,3,NA,NA,NA,1,0,0,0,0,0,0,0,2,NA,0,1,1,1,21,60,Layak Minum
202,11,2,12,1,0,1,1,0,1,0,35,36,31,1,4,1,54,2,1,1,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,3,11,75,Layak Minum
203,11,2,12,1,0,1,1,0,1,1,35,36,31,2,4,1,44,8,2,1,1,0,1,0,0,0,0,0,0,0,2,NA,1,0,1,3,11,85,Layak Minum
204,11,2,31,1,0,1,1,0,1,0,35,36,32,1,2,1,29,8,1,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,31,50,Tidak Layak Minum
205,11,2,12,1,0,1,1,0,1,0,33,35,31,10,4,1,50,2,1,1,1,0,3,1,1,0,0,0,0,0,2,NA,0,0,1,4,11,48,Layak Minum
206,11,2,17,1,0,1,0,0,1,0,35,36,31,2,4,1,44,2,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,21,56,Layak Minum
207,11,2,17,1,0,1,0,0,0,0,35,36,31,2,4,2,59,8,1,1,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,1,21,36,Tidak Layak Minum
208,11,2,16,1,0,1,1,0,0,0,35,36,31,2,3,2,51,8,1,1,1,0,1,0,0,0,0,0,0,0,3,NA,1,0,3,2,12,70,Layak Minum
209,11,2,17,1,0,1,0,0,1,0,35,36,31,0,4,1,56,8,1,1,1,0,2,1,1,0,0,0,0,0,3,NA,0,1,1,1,21,75,Tidak Layak Minum
211,11,2,12,1,0,1,0,0,1,0,35,36,31,2,4,1,52,8,3,NA,NA,NA,1,1,1,0,0,0,0,0,2,NA,1,1,1,2,11,38,Layak Minum
212,11,2,12,1,0,1,1,0,1,0,35,36,31,2,4,1,42,8,1,1,0,1,2,1,1,0,0,0,0,0,1,1,1,1,1,2,11,50,Layak Minum
213,11,2,17,1,0,1,0,0,1,0,35,36,31,3,4,1,43,8,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,21,54,Layak Minum
214,11,2,12,1,0,1,1,0,1,0,35,36,31,2,1,1,30,2,1,1,0,1,2,1,1,0,0,0,0,0,1,1,0,0,1,2,11,60,Layak Minum
215,11,2,16,1,0,1,1,0,1,0,35,36,31,2,4,1,30,2,1,1,1,0,2,1,1,0,0,0,0,0,1,1,1,0,1,3,12,72,Layak Minum
219,11,2,17,1,0,0,0,0,0,0,35,36,31,1,4,1,60,8,2,1,0,0,1,1,1,0,0,0,0,0,2,NA,0,0,1,1,21,40,Layak Minum
220,11,2,17,1,0,1,0,0,1,0,35,36,31,3,4,1,44,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,1,0,1,2,21,998,Layak Minum
221,11,2,17,1,0,1,0,0,1,0,11,36,12,1,2,1,27,2,3,NA,NA,NA,3,1,1,0,0,0,0,0,1,0,0,1,1,1,21,20,Layak Minum
222,11,2,12,1,0,1,1,0,1,0,35,36,31,3,4,1,58,8,1,1,0,1,2,1,1,0,0,0,0,0,2,NA,1,0,1,2,11,65,Layak Minum
223,11,2,12,1,0,1,1,0,0,0,35,36,31,2,4,1,49,2,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,3,11,60,Layak Minum
224,11,2,12,1,0,1,1,1,1,1,33,35,31,2,2,1,43,8,2,1,1,0,2,0,0,0,0,0,0,0,3,NA,1,0,1,4,11,85,Layak Minum
226,11,2,12,1,1,1,1,1,1,1,21,36,31,2,4,1,46,2,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1,1,1,5,11,136,Layak Minum
229,11,2,12,1,1,1,1,0,1,1,35,35,31,2,2,1,41,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,4,5,11,72,Layak Minum
230,11,2,12,1,0,1,1,0,1,0,35,35,31,2,4,1,54,2,1,1,1,0,3,1,1,0,0,0,0,0,1,1,0,0,1,5,11,32,Layak Minum
232,11,2,12,1,1,1,1,1,1,1,35,35,31,3,4,1,51,8,1,1,1,0,2,1,1,0,0,0,0,0,2,NA,0,0,0,5,11,120,Layak Minum
233,11,2,12,1,0,1,1,1,1,1,33,35,31,3,4,1,42,2,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1,5,11,144,Layak Minum
235,11,2,31,1,0,0,0,0,1,0,11,36,31,1,3,2,51,2,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,31,25,Layak Minum
236,11,2,31,1,0,1,1,0,1,0,35,36,31,2,3,2,36,2,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,2,31,56,Layak Minum
237,11,2,31,1,0,1,1,1,1,0,35,36,31,2,4,1,42,2,2,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,2,31,48,Layak Minum
